code,name
1000501,苗栗市
1000502,苑裡鎮
1000503,通霄鎮
1000504,竹南鎮
1000505,頭份市
1000506,後龍鎮
1000507,卓蘭鎮
1000508,大湖鄉
1000509,公館鄉
1000510,銅鑼鄉
1000511,南庄鄉
1000512,頭屋鄉
1000513,三義鄉
1000514,西湖鄉
1000515,造橋鄉
1000516,三灣鄉
1000517,獅潭鄉
1000518,泰安鄉
1000701,彰化市
1000702,鹿港鎮
1000703,和美鎮
1000704,線西鄉
1000705,伸港鄉
1000706,福興鄉
1000707,秀水鄉
1000708,花壇鄉
1000709,芬園鄉
1000710,員林市
1000711,溪湖鎮
1000712,田中鎮
1000713,大村鄉
1000714,埔鹽鄉
1000715,埔心鄉
1000716,永靖鄉
1000717,社頭鄉
1000718,二水鄉
1000719,北斗鎮
1000720,二林鎮
1000721,田尾鄉
1000722,埤頭鄉
1000723,芳苑鄉
1000724,大城鄉
1000725,竹塘鄉
1000726,溪州鄉
1000801,南投市
1000802,埔里鎮
1000803,草屯鎮
1000804,竹山鎮
1000805,集集鎮
1000806,名間鄉
1000807,鹿谷鄉
1000808,中寮鄉
1000809,魚池鄉
1000810,國姓鄉
1000811,水里鄉
1000812,信義鄉
1000813,仁愛鄉
1000901,斗六市
1000902,斗南鎮
1000903,虎尾鎮
1000904,西螺鎮
1000905,土庫鎮
1000906,北港鎮
1000907,古坑鄉
1000908,大埤鄉
1000909,莿桐鄉
1000910,林內鄉
1000911,二崙鄉
1000912,崙背鄉
1000913,麥寮鄉
1000914,東勢鄉
1000915,褒忠鄉
1000916,臺西鄉
1000917,元長鄉
1000918,四湖鄉
1000919,口湖鄉
1000920,水林鄉
6600100,中區
6600200,東區
6600300,南區
6600400,西區
6600500,北區
6600600,西屯區
6600700,南屯區
6600800,北屯區
6600900,豐原區
6601000,東勢區
6601100,大甲區
6601200,清水區
6601300,沙鹿區
6601400,梧棲區
6601500,后里區
6601600,神岡區
6601700,潭子區
6601800,大雅區
6601900,新社區
6602000,石岡區
6602100,外埔區
6602200,大安區
6602300,烏日區
6602400,大肚區
6602500,龍井區
6602600,霧峰區
6602700,太平區
6602800,大里區
6602900,和平區
